mean reward at round 186:91.83591220498539
mean reward at round 187:91.83591220498539
mean reward at round 188:91.83591220498539
mean reward at round 189:91.83591220498539
mean reward at round 190:91.83591220498539
mean reward at round 191:91.83591220498539
mean reward at round 192:91.83591220498539
mean reward at round 193:91.83591220498539
mean reward at round 194:91.83591220498539
mean reward at round 195:91.83591220498539
mean reward at round 196:91.83591220498539
mean reward at round 197:91.83591220498539
mean reward at round 198:91.83591220498539
mean reward at round 199:91.83591220498539
mean reward at round 200:94.40077560020195
mean reward at round 201:94.40077560020195
mean reward at round 202:94.40077560020195
mean reward at round 203:94.40077560020195
mean reward at round 204:94.40077560020195
mean reward at round 205:94.40077560020195
mean reward at round 206:94.40077560020195
mean reward at round 207:94.40077560020195
mean reward at round 208:94.40077560020195
mean reward at round 209:94.40077560020195
mean reward at round 210:94.40077560020195
mean reward at round 211:94.40077560020195
mean reward at round 212:94.40077560020195
mean reward at round 213:94.40077560020195
mean reward at round 214:94.40077560020195
mean reward at round 215:94.40077560020195
mean reward at round 216:94.40077560020195
mean reward at round 217:94.40077560020195
mean reward at round 218:94.40077560020195
mean reward at round 219:94.40077560020195
mean reward at round 220:133.74193876023102
mean reward at round 221:133.74193876023102
mean reward at round 222:133.74193876023102
mean reward at round 223:133.74193876023102
mean reward at round 224:133.74193876023102
mean reward at round 225:133.74193876023102
mean reward at round 226:133.74193876023102
mean reward at round 227:133.74193876023102
mean reward at round 228:133.74193876023102
mean reward at round 229:133.74193876023102
mean reward at round 230:133.74193876023102
mean reward at round 231:133.74193876023102
mean reward at round 232:133.74193876023102
mean reward at round 233:133.74193876023102
mean reward at round 234:133.74193876023102
mean reward at round 235:133.74193876023102
mean reward at round 236:133.74193876023102
mean reward at round 237:133.74193876023102
mean reward at round 238:133.74193876023102
mean reward at round 239:133.74193876023102
mean reward at round 240:134.01222568293989
mean reward at round 241:134.01222568293989
mean reward at round 242:134.01222568293989
mean reward at round 243:134.01222568293989
mean reward at round 244:134.01222568293989
mean reward at round 245:134.01222568293989
mean reward at round 246:134.01222568293989
mean reward at round 247:134.01222568293989
mean reward at round 248:134.01222568293989
mean reward at round 249:134.01222568293989
mean reward at round 250:134.01222568293989
mean reward at round 251:134.01222568293989
mean reward at round 252:134.01222568293989
mean reward at round 253:134.01222568293989
mean reward at round 254:134.01222568293989
mean reward at round 255:134.01222568293989
mean reward at round 256:134.01222568293989
mean reward at round 257:134.01222568293989
mean reward at round 258:134.01222568293989
mean reward at round 259:134.01222568293989
mean reward at round 260:46.29256899950279
